INSTNM,STABBR,COSTT4_A,AVGFACSAL,MD_EARN_WNE_P10,ADM_RATE,SAT_AVG,DEBT_MDN,UGDS
Alabama A & M University,AL,18888,7079,29900,0.8989,823,12430.5,4051
University of Alabama at Birmingham,AL,19990,10170,40200,0.8673,1146,12500,11200
Amridge University,AL,12300,3849,40100,NULL,NULL,7375.5,322
University of Alabama in Huntsville,AL,20306,9341,45600,0.8062,1180,13000,5525
Alabama State University,AL,17400,6557,26700,0.5125,830,11000,5354
The University of Alabama,AL,26717,9605,42700,0.5655,1171,14909,28692
Central Alabama Community College,AL,12103,5805,27200,NULL,NULL,5572,1779
Athens State University,AL,NULL,7672,38500,NULL,NULL,11082,2999
Auburn University at Montgomery,AL,16556,7173,33500,0.8371,970,8199,4322
Auburn University,AL,23788,9429,47100,0.8274,1215,15238,19761
Birmingham Southern College,AL,44167,7513,45600,0.6422,1177,21500,1181
Chattahoochee Valley Community College,AL,6800,5749,26300,NULL,NULL,4000,1769
Concordia College Alabama,AL,17655,5720,20600,NULL,NULL,7500,523
South University-Montgomery,AL,28525,4566,30300,0.4366,NULL,6109,599
Enterprise State Community College,AL,10193,6257,29800,NULL,NULL,5428,1984
Coastal Alabama Community College,AL,11921,6116,28700,NULL,NULL,4685,4182
Faulkner University,AL,28485,6657,35900,NULL,NULL,12483.5,2358
Gadsden State Community College,AL,10247,5950,25400,NULL,NULL,PrivacySuppressed,5480
New Beginning College of Cosmetology,AL,NULL,NULL,NULL,NULL,NULL,7414,89
George C Wallace Community College-Dothan,AL,8140,5544,24800,NULL,NULL,PrivacySuppressed,4293
George C Wallace State Community College-Hanceville,AL,10822,5843,31100,NULL,NULL,6500,4904
George C Wallace State Community College-Selma,AL,14835,5809,23100,NULL,NULL,PrivacySuppressed,1604
Herzing University-Birmingham,AL,26656,5645,40300,0.7234,NULL,9500,318
Huntingdon College,AL,31433,6027,36800,0.6279,999,13709,1100
Heritage Christian University,AL,21160,5512,PrivacySuppressed,NULL,NULL,7264,67
J. F. Drake State Community and Technical College,AL,12217,6947,22200,NULL,NULL,PrivacySuppressed,1040
J F Ingram State Technical College,AL,NULL,6454,NULL,NULL,NULL,NULL,504
Jacksonville State University,AL,19202,6857,35000,0.8326,1036,12500,7195
Jefferson Davis Community College,AL,9149,5636,24100,NULL,NULL,PrivacySuppressed,1037
Jefferson State Community College,AL,12943,6079,30100,NULL,NULL,3500,7494
John C Calhoun State Community College,AL,9829,6083,27300,NULL,NULL,4412.5,9970
Judson College,AL,27815,5638,27800,0.7388,1023,14000,331
Lawson State Community College,AL,12602,6005,24000,NULL,NULL,PrivacySuppressed,2894
University of West Alabama,AL,17959,6408,36200,0.9957,950,8445,1988
Lurleen B Wallace Community College,AL,13204,5629,25500,NULL,NULL,PrivacySuppressed,1372
Marion Military Institute,AL,16520,5909,45900,0.6034,1040,5500,411
