INSTNM,LATITUDE,LONGITUDE
Alabama A & M University,34.783368,-86.568502
University of Alabama at Birmingham,33.505697,-86.799345
Amridge University,32.362609,-86.17401
University of Alabama in Huntsville,34.724557,-86.640449
Alabama State University,32.364317,-86.295677
The University of Alabama,33.211875,-87.545978
Central Alabama Community College,32.92478,-85.945266
Athens State University,34.806793,-86.964698
Auburn University at Montgomery,32.36736,-86.177544
Auburn University,32.599378,-85.488258
Birmingham Southern College,33.513774,-86.850552
Chattahoochee Valley Community College,32.42391,-85.031485
South University-Montgomery,32.342684,-86.216488
Enterprise State Community College,31.297496,-85.836956
Coastal Alabama Community College,30.851343,-87.778193
Faulkner University,32.384181,-86.21641
Gadsden State Community College,33.994001,-85.991438
New Beginning College of Cosmetology,34.27871,-86.196931
George C Wallace Community College-Dothan,31.315274,-85.465836
George C Wallace State Community College-Hanceville,34.072439,-86.781935
George C Wallace State Community College-Selma,32.445917,-87.013294
Herzing University-Birmingham,33.468466,-86.832465
Huntingdon College,32.351034,-86.284366
Heritage Christian University,34.856153,-87.663051
J. F. Drake State Community and Technical College,34.771858,-86.572885
J F Ingram State Technical College,32.582312,-86.392369
Jacksonville State University,33.822938,-85.765321
Jefferson State Community College,33.652535,-86.707233
John C Calhoun State Community College,34.645844,-86.949674
Judson College,32.629253,-87.315206
Lawson State Community College,33.450814,-86.888844
University of West Alabama,32.588132,-88.186329
Lurleen B Wallace Community College,31.322947,-86.452262
Marion Military Institute,32.623734,-87.322041
Miles College,33.482442,-86.908751
University of Mobile,30.793247,-88.128934
University of Montevallo,33.10625,-86.865099
Northwest-Shoals Community College,34.739788,-87.678089
University of North Alabama,34.806738,-87.681361
Northeast Alabama Community College,34.545471,-85.911664
Oakwood University,34.756344,-86.652705
Reid State Technical College,31.460265,-86.964797
Bishop State Community College,30.693972,-88.056982
Samford University,33.464128,-86.791799
Selma University,32.420387,-87.032392
Shelton State Community College,33.120531,-87.56148
Snead State Community College,34.201495,-86.169897
University of South Alabama,30.696033,-88.178711
Spring Hill College,30.694751,-88.138199
Stillman College,33.200006,-87.585278
Talladega College,33.433472,-86.112704
H Councill Trenholm State Community College,32.350109,-86.343057
Troy University,31.800672,-85.957094
Tuskegee University,32.4309,-85.708492
United States Sports Academy,30.639329,-87.91163
Bevill State Community College,33.836929,-87.266406
University of Alaska Anchorage,61.190163,-149.82619
Alaska Bible College,61.598553,-149.111972
University of Alaska Fairbanks,64.85756,-147.823146
University of Alaska Southeast,58.384846,-134.638255
Alaska Pacific University,61.190968,-149.804168
AVTEC-Alaska's Institute of Technology,60.110626,-149.444487
Charter College,45.617798,-122.494766
Alaska Career College,61.181443,-149.856954
Empire Beauty School-Tucson,32.235657,-110.927187
Carrington College-Phoenix North,33.561689,-112.116105
Carrington College-Mesa,33.39248,-111.853218
Carrington College-Tucson,32.224391,-110.983056
CollegeAmerica-Flagstaff,35.194495,-111.657673
Arizona Academy of Beauty-East,32.237253,-110.872305
Platt College-Arizona Automotive Institute Arizona,33.537249,-112.157344
Brookline College-Phoenix,33.566102,-112.112473
Arizona State University-Tempe,33.417721,-111.934383
Arizona Western College,32.689306,-114.495968
University of Arizona,32.232672,-110.950815
Southwest University of Visual Arts-Tucson,32.252879,-110.927265
Central Arizona College,32.957092,-111.652501
Charles of Italy Beauty College,34.477485,-114.332686
Cochise County Community College District,31.564597,-110.246946
Empire Beauty School-Flagstaff,35.197151,-111.625936
Empire Beauty School-Chandler,33.347586,-111.860423
