INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Alabama A & M University,12430.5,18888,0.8989,823,4051,7079,29900
University of Alabama at Birmingham,12500,19990,0.8673,1146,11200,10170,40200
Amridge University,7375.5,12300,NULL,NULL,322,3849,40100
University of Alabama in Huntsville,13000,20306,0.8062,1180,5525,9341,45600
Alabama State University,11000,17400,0.5125,830,5354,6557,26700
The University of Alabama,14909,26717,0.5655,1171,28692,9605,42700
Central Alabama Community College,5572,12103,NULL,NULL,1779,5805,27200
Athens State University,11082,NULL,NULL,NULL,2999,7672,38500
Auburn University at Montgomery,8199,16556,0.8371,970,4322,7173,33500
Auburn University,15238,23788,0.8274,1215,19761,9429,47100
Birmingham Southern College,21500,44167,0.6422,1177,1181,7513,45600
Chattahoochee Valley Community College,4000,6800,NULL,NULL,1769,5749,26300
Concordia College Alabama,7500,17655,NULL,NULL,523,5720,20600
South University-Montgomery,6109,28525,0.4366,NULL,599,45git6,30300
Enterprise State Community College,5428,10193,NULL,NULL,1984,6257,29800
Coastal Alabama Community College,4685,11921,NULL,NULL,4182,6116,28700
Faulkner University,12483.5,28485,NULL,NULL,2358,6657,35900
Gadsden State Community College,PrivacySuppressed,10247,NULL,NULL,5480,5950,25400
New Beginning College of Cosmetology,7414,NULL,NULL,NULL,89,NULL,NULL
George C Wallace Community College-Dothan,PrivacySuppressed,8140,NULL,NULL,4293,5544,24800
George C Wallace State Community College-Hanceville,6500,10822,NULL,NULL,4904,5843,31100
George C Wallace State Community College-Selma,PrivacySuppressed,14835,NULL,NULL,1604,5809,23100
Herzing University-Birmingham,9500,26656,0.7234,NULL,318,5645,40300
Huntingdon College,13709,31433,0.6279,999,1100,6027,36800
Heritage Christian University,7264,21160,NULL,NULL,67,5512,PrivacySuppressed
J. F. Drake State Community and Technical College,PrivacySuppressed,12217,NULL,NULL,1040,6947,22200
J F Ingram State Technical College,NULL,NULL,NULL,NULL,504,6454,NULL
Jacksonville State University,12500,19202,0.8326,1036,7195,6857,35000
Jefferson Davis Community College,PrivacySuppressed,9149,NULL,NULL,1037,5636,24100
Jefferson State Community College,3500,12943,NULL,NULL,7494,6079,30100
John C Calhoun State Community College,4412.5,9829,NULL,NULL,9970,6083,27300
Judson College,14000,27815,0.7388,1023,331,5638,27800
Lawson State Community College,PrivacySuppressed,12602,NULL,NULL,2894,6005,24000
University of West Alabama,8445,17959,0.9957,950,1988,6408,36200
Lurleen B Wallace Community College,PrivacySuppressed,13204,NULL,NULL,1372,5629,25500
Marion Military Institute,5500,16520,0.6034,1040,411,5909,45900
Miles College,9500,21336,NULL,NULL,1663,4026,25300
University of Mobile,19000,30108,0.7125,1058,1472,5024,35000
University of Montevallo,13251,20194,0.8729,1070,2610,7035,33100
Northwest-Shoals Community College,4000,9111,NULL,NULL,3235,6055,25000
University of North Alabama,9868,15058,0.8092,1028,5536,7152,36400
Northeast Alabama Community College,3000,7860,NULL,NULL,2376,6099,28100
Oakwood University,16893,34705,0.3435,924,1854,5307,32200
Alabama Southern Community College,PrivacySuppressed,10701,NULL,NULL,1218,5869,22800
Prince Institute-Southeast,10454,24676,NULL,NULL,102,4710,PrivacySuppressed
Reid State Technical College,PrivacySuppressed,9693,NULL,NULL,414,5875,19900
Bishop State Community College,PrivacySuppressed,10059,NULL,NULL,3363,6173,21900
Samford University,17500,38835,0.7697,1153,2995,8261,46300
Selma University,4600,11187,NULL,NULL,447,3232,PrivacySuppressed
Shelton State Community College,PrivacySuppressed,13007,NULL,NULL,4859,4584,25700
Snead State Community College,3305,9622,NULL,NULL,2161,4693,26700
University of South Alabama,10250,17125,0.8604,1064,11048,7212,37000
Spring Hill College,18583,43325,0.4627,1100,1269,6057,42400
Southeastern Bible College,13282.5,19127,0.9615,970,160,4577,31600
Stillman College,17500,24744,0.43,882,863,4743,27200
Talladega College,15035.5,18758,NULL,NULL,894,5063,23800
H Councill Trenholm State Community College,PrivacySuppressed,9955,NULL,NULL,1262,6058,23200
Troy University,9702,16877,0.6821,990,16208,5996,35800
Tuskegee University,16908.5,32853,0.3511,937,2584,6679,35300
United States Sports Academy,10500,NULL,NULL,NULL,80,5755,PrivacySuppressed
Bevill State Community College,PrivacySuppressed,13443,NULL,NULL,3212,6153,26500
University of Alaska Anchorage,7500,13180,NULL,NULL,13116,8471,43300
Alaska Bible College,PrivacySuppressed,13380,NULL,NULL,26,2500,NULL
University of Alaska Fairbanks,7000,15035,NULL,NULL,5729,8842,37100
University of Alaska Southeast,8120,16409,NULL,NULL,1488,7849,36800
Alaska Pacific University,12500,42925,0.3745,1008,340,5832,39000
AVTEC-Alaska's Institute of Technology,5500,NULL,0.4888,NULL,1347,6256,32900
Charter College,9500,21163,NULL,NULL,2191,4003,38300
Prince William Sound Community College,7500,12434,NULL,NULL,134,7202,43300
Alaska Career College,7649,NULL,NULL,NULL,335,3359,31300
Everest College-Phoenix,5760,25089,NULL,NULL,2761,7411,28600
Collins College,27000,NULL,NULL,NULL,254,4869,26100
Empire Beauty School-Paradise Valley,6513,NULL,NULL,NULL,43,NULL,16900
Empire Beauty School-Tucson,5000,NULL,NULL,NULL,175,NULL,20600
Thunderbird School of Global Management,8000,NULL,NULL,NULL,2,10953,111600
American Indian College Inc,10587.5,20601,NULL,NULL,77,1954,PrivacySuppressed
American Institute of Trucking,5826,NULL,NULL,NULL,278,NULL,32500
Carrington College-Phoenix North,9425.5,NULL,1,NULL,676,3613,24800
Carrington College-Mesa,9425.5,NULL,1,NULL,691,4133,24800
Carrington College-Tucson,9425.5,NULL,1,NULL,440,3036,24800
CollegeAmerica-Flagstaff,13750,26842,NULL,NULL,94,3960,22600
Arizona Academy of Beauty-East,4750,NULL,NULL,NULL,47,NULL,16500
Platt College-Arizona Automotive Institute Arizona,9500,NULL,NULL,NULL,505,NULL,34400
Brookline College-Phoenix,9335,NULL,NULL,NULL,828,4757,21900
Arizona State University-Tempe,13713,21960,0.8023,1145,38480,10405,45400
Arizona Western College,3500,14337,NULL,NULL,7442,9023,27600
University of Arizona,12000,23905,0.7692,1106,31399,10320,45800
Southwest University of Visual Arts-Tucson,31000,49519,NULL,NULL,216,3141,28500
Brillare Hairdressing Academy,7349,NULL,NULL,NULL,226,NULL,24100
Central Arizona College,4500,9205,NULL,NULL,5462,6164,27300
Brown Mackie College-Tucson,9500,24344,NULL,NULL,684,4926,29600
Charles of Italy Beauty College,6111,NULL,NULL,NULL,83,NULL,13800
Cochise County Community College District,3500,9792,NULL,NULL,3787,6249,28100
Empire Beauty School-Flagstaff,5500,NULL,NULL,NULL,53,NULL,17800
Empire Beauty School-Chandler,5500,NULL,NULL,NULL,113,NULL,17800
Cortiva Institute-Tucson,6333,NULL,NULL,NULL,143,NULL,20100
Avalon School of Cosmetology-Mesa,9566.5,NULL,NULL,NULL,273,NULL,20300
Eastern Arizona College,PrivacySuppressed,11649,NULL,NULL,4812,8016,28400
Embry-Riddle Aeronautical University-Prescott,9375,45228,0.7898,1171,1802,8387,62400
School of Architecture at Taliesin,PrivacySuppressed,NULL,NULL,NULL,2,4214,NULL
Glendale Community College,3500,12043,NULL,NULL,16623,8601,33800
Grand Canyon University,6687,31613,0.548,NULL,34643,5473,49200
Anthem College-Phoenix,9556,32523,NULL,NULL,2238,3848,27500
Olympian Academy of Cosmetology,7476,NULL,NULL,NULL,210,NULL,24700
Kaplan College-Phoenix,9500,NULL,NULL,NULL,93,3568,27800
GateWay Community College,5250,12673,NULL,NULL,5653,8912,31700
Mesa Community College,3500,12744,NULL,NULL,20120,8926,34600
ITT Technical Institute-Tucson,12224,26194,0.9703,NULL,409,5163,38800
ITT Technical Institute-Tempe,12224,26194,0.9796,NULL,498,5549,38800
Mohave Community College,6250,15718,NULL,NULL,4759,6105,27200
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,16000,NULL,NULL,NULL,2049,NULL,36600
Dine College,PrivacySuppressed,11396,NULL,NULL,1425,5200,20400
Northern Arizona University,12493,22771,0.9137,1050,22011,7863,39300
Northland Pioneer College,PrivacySuppressed,13342,NULL,NULL,1641,5997,24900
Ottawa University-Phoenix,11250,NULL,NULL,NULL,335,5768,40100
Phoenix College,5000,12521,NULL,NULL,10234,8822,31000
Cortiva Institute-Scottsdale,7600,NULL,NULL,NULL,87,NULL,22400
University of Phoenix-Phoenix Campus,9254,24167,NULL,NULL,3044,2795,48400
Pima Community College,4000,7367,NULL,NULL,26600,7131,30100
Pima Medical Institute-Tucson,8313,NULL,NULL,NULL,1726,5056,27700
Pima Medical Institute-Albuquerque,8313,NULL,NULL,NULL,930,2524,27700
Prescott College,16146,40206,0.7293,1094,540,4248,32500
Refrigeration School Inc,9964.5,NULL,NULL,NULL,621,3493,40800
Rio Salado College,3500,11811,NULL,NULL,10217,8791,38100
Roberto-Venn School of Luthiery,7307,NULL,NULL,NULL,39,NULL,23500
Hair Academy of Safford,6808,NULL,NULL,NULL,64,NULL,PrivacySuppressed
Scottsdale Community College,3500,12970,NULL,NULL,7687,8995,35400
South Mountain Community College,4601,12343,NULL,NULL,3980,9324,28900
Arizona Christian University,12500,34444,0.6076,1045,491,4617,33600
Tucson College,9498,NULL,NULL,NULL,284,NULL,22700
Universal Technical Institute of Arizona Inc,13132,NULL,NULL,NULL,2337,4711,43700
Western International University,10531.5,26118,NULL,NULL,1369,7758,47500
Empire Beauty School-NW Phoenix,5500,NULL,NULL,NULL,172,NULL,17000
Yavapai College,4565.5,12950,NULL,NULL,6072,6481,27700
University of Arkansas at Little Rock,9501,19894,0.5274,1077,8504,7480,33500
University of Arkansas for Medical Sciences,12500,NULL,NULL,NULL,755,7805,60700
ABC Beauty College Inc,10500,NULL,NULL,NULL,32,NULL,PrivacySuppressed
Arkansas Baptist College,9500,20024,NULL,NULL,1022,4233,22300
Arkansas Beauty School-Little Rock,6333,NULL,NULL,NULL,37,NULL,15500
Arkansas Beauty College,5500,NULL,NULL,NULL,46,NULL,PrivacySuppressed
Lyon College,12000,33355,0.5898,1142,570,6354,40500
Arkansas College of Barbering and Hair Design,9274,NULL,NULL,NULL,134,NULL,14700
Arthur's Beauty College Inc-Fort Smith,6775,NULL,NULL,NULL,50,NULL,15900
University of Arkansas,12500,19917,0.5858,1156,20776,8902,43100
University of Arkansas at Pine Bluff,10748.5,15414,0.277,842,2503,5341,26700
Arkansas State University-Beebe,4384.5,11558,NULL,NULL,3217,5083,29000
Arkansas State University-Main Campus,9363.5,18809,0.7551,1088,9325,6957,31700
Arkansas Tech University,7660,16126,0.8503,1008,8734,6096,33000
University of Arkansas at Monticello,5500,16255,NULL,NULL,3024,5282,30600
Arthur's Beauty College Inc-Jacksonville,9500,NULL,NULL,NULL,64,NULL,14100
Baptist Health College Little Rock,9500,18846,0.8615,970,918,NULL,44800
Black River Technical College,5336.5,11401,NULL,NULL,1894,4485,25600
University of Central Arkansas,9500,17899,0.8997,1070,9261,6434,36900
Central Baptist College,9500,20386,0.5407,974,769,4948,33700
Cossatot Community College of the University of Arkansas,PrivacySuppressed,11753,NULL,NULL,1129,4802,23400
Crowley's Ridge College,8000,18790,NULL,NULL,153,3401,28000
Crowley's Ridge Technical Institute,PrivacySuppressed,8644,NULL,NULL,286,NULL,18200
East Arkansas Community College,2000,8767,NULL,NULL,922,5208,20300
Eastern College of Health Vocations-Little Rock,3797,NULL,NULL,NULL,302,NULL,19600
Imagine-Paul Mitchell Partner School,9833,NULL,NULL,NULL,482,NULL,PrivacySuppressed
National Park College,8764.5,13836,NULL,NULL,2445,4629,24900
University of Arkansas Community College-Batesville,5500,7631,NULL,NULL,1090,4392,23800
Harding University,16830,25475,0.7628,1139,4428,7082,38600
Henderson State University,7788,18033,0.6221,1011,3190,5606,34900
Hendrix College,19500,50172,0.8039,1267,1428,7233,40600
Hot Springs Beauty College,4000,NULL,NULL,NULL,43,NULL,15400
